0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[욕설],russianblue02<브2,진심,닷지해라,,,,,,,,,,,,
[욕설],Kazuma,Kiryu,이사람거르세요,닷지부탁햇다고,쌍욕박고,,,,,,,,,,
[욕설],아레환레,-,롤,트롤,유미,정화,"유체화,",나만지키면돼,-,탈주,,,,,
[욕설],want,rise,패드립,박제,사진,,,,,,,,,,
[욕설],soul,rapper,패드립,박제,사진,,,,,,,,,,
[욕설],트롤아님안함,병신박제,,,,,,,,,,,,,
[욕설],격전,비매너,유저(만나면,믿고,거르셈),,,,,,,,,,
[욕설],격전,대리게임,신고,[,문도,님,],사진,,,,,,,
[욕설],킴켱큰-,트롤,",",꼴픽,",",패드립,",",선동,",",허언,,,,,
[욕설],한도담<<<<패드립,욕설원딜러,,,,,,,,,,,,,
[욕설],사랑은불장난,이놈이랑,매칭되면,걍,닷지하셈,사진,,,,,,,,,
[욕설],트롤,-,굳,지,,,,,,,,,,,
[욕설],맵안봄핑찍지마셈,<<고의트롤!!,,,,,,,,,,,,,
[욕설],"하체만잘하면이김<<고의트롤,욕설,벌레",,,,,,,,,,,,,,
[욕설],"도티잠뜰샌즈TV,AD",Mbappe,패드립,박제,사진,,,,,,,,,,
[욕설],5인,비매너/욕설/패드립,박제합니다.,사진,,,,,,,,,,,
[욕설],욕설,사용,유저,신고,사진,,,,,,,,,,
[욕설],티,팔,<<,패드립,사진,,,,,,,,,,
[욕설],꽃이,필,때,까지<<,패드립,박제,사진,,,,,,,,
[욕설],채팅하면,던질거,<--패작러,사진,,,,,,,,,,,
